City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
135,Grindavik,IS,63.8424,-22.4338,28.35,63,100,23.02,snow
136,Koumac,NC,-20.5667,164.2833,82.27,80,100,12.75,heavy intensity rain
137,Pemberton,CA,50.3164,-122.8027,35.46,96,97,5.08,overcast clouds
138,Margate,GB,51.3813,1.3862,39.96,82,1,1.99,clear sky
139,Zhigansk,RU,66.7697,123.3711,-25.51,97,99,4.43,overcast clouds
140,Kapaa,US,22.0752,-159.319,78.12,70,40,1.01,scattered clouds
141,Mahebourg,MU,-20.4081,57.7,80.26,89,75,17.27,broken clouds
142,Saint-Pierre,RE,-21.3393,55.4781,82.08,65,100,8.05,overcast clouds
143,Ville-Marie,CA,47.3335,-79.433,-11.2,100,68,3.44,broken clouds
144,Yumen,CN,40.2833,97.2,18.75,30,100,17.43,overcast clouds
145,Kruisfontein,ZA,-34.0033,24.7314,64.89,78,72,3.49,broken clouds
146,Padang,ID,-0.9492,100.3543,82.11,75,89,2.3,overcast clouds
147,Mahwa,IN,27.0471,76.9288,56.19,63,0,3.15,clear sky
148,Iqaluit,CA,63.7506,-68.5145,-18.67,57,75,3.44,broken clouds
149,Grenada,ES,37.1882,-3.6067,56.91,81,100,0.0,overcast clouds
150,Santiago De Cao,PE,-7.9589,-79.2392,69.69,84,64,11.7,broken clouds
151,Syedove,UA,47.0768,38.156,27.0,83,75,10.51,broken clouds
152,Barrow,US,71.2906,-156.7887,-18.38,76,100,4.61,overcast clouds
153,Leningradskiy,RU,69.3833,178.4167,-18.85,94,47,7.43,scattered clouds
154,Beatrice,US,40.2681,-96.747,21.45,38,0,4.61,clear sky
155,Andenes,NO,69.3143,16.1194,26.58,80,99,21.85,overcast clouds
156,Los Llanos De Aridane,ES,28.6585,-17.9182,58.12,76,0,7.0,clear sky
157,Isangel,VU,-19.55,169.2667,75.31,94,100,4.61,moderate rain
158,San Patricio,US,28.017,-97.5169,41.83,76,6,13.09,clear sky
159,Makakilo City,US,21.3469,-158.0858,77.32,65,75,6.91,broken clouds
160,Tolaga Bay,NZ,-38.3667,178.3,76.69,62,9,3.09,clear sky
161,New Norfolk,AU,-42.7826,147.0587,70.92,48,95,3.0,overcast clouds
162,Tilichiki,RU,60.4667,166.1,0.1,75,100,8.88,overcast clouds
163,Ribeira Grande,PT,38.5167,-28.7,58.96,80,23,7.61,few clouds
164,Churapcha,RU,62.0025,132.4325,-21.37,92,99,4.23,overcast clouds
165,Baltay,RU,52.4652,46.6308,12.87,99,98,5.55,overcast clouds
166,Handan,CN,36.6006,114.4678,36.95,27,100,2.26,overcast clouds
167,Kerema,PG,-7.9631,145.7785,86.07,65,87,11.79,overcast clouds
168,Shetpe,KZ,44.1667,52.1167,34.32,96,100,12.55,overcast clouds
169,Sens,FR,48.1667,3.3333,36.99,93,31,6.06,scattered clouds
170,Srivardhan,IN,18.0333,73.0167,72.39,52,21,2.48,few clouds
171,Yellowknife,CA,62.456,-114.3525,-26.45,76,100,8.05,overcast clouds
172,Bambous Virieux,MU,-20.3428,57.7575,80.22,89,75,17.27,light rain
173,Tahe,CN,52.3333,124.7333,7.79,64,100,9.48,overcast clouds
174,Lebu,CL,-37.6167,-73.65,57.33,87,62,17.81,broken clouds
175,Kosh-Agach,RU,50.0,88.6667,-16.73,93,84,1.14,broken clouds
176,Tiksi,RU,71.6872,128.8694,-22.27,98,69,7.36,broken clouds
177,Klaksvik,FO,62.2266,-6.589,34.72,57,98,12.84,overcast clouds
178,Mabaruma,GY,8.2,-59.7833,72.3,93,13,2.64,few clouds
179,Kidal,ML,18.4411,1.4078,55.96,20,0,11.25,clear sky
180,Bingerville,CI,5.3584,-3.8869,79.74,94,20,4.61,few clouds
181,Mount Gambier,AU,-37.8333,140.7667,76.91,41,75,19.57,broken clouds
182,Ahipara,NZ,-35.1667,173.1667,70.9,98,93,14.74,overcast clouds
183,Lucea,JM,18.451,-78.1736,76.86,80,3,11.5,clear sky
184,Mantua,IT,45.1667,10.7833,45.72,91,100,1.12,overcast clouds
185,Nuuk,GL,64.1835,-51.7216,7.41,85,75,14.97,light shower snow
186,Jipijapa,EC,-1.3333,-80.5833,72.9,88,57,4.07,broken clouds
187,Berlevag,NO,70.8578,29.0864,20.64,79,100,25.48,overcast clouds
188,Aquiraz,BR,-3.9014,-38.3911,82.49,82,71,8.57,broken clouds
189,Iquique,CL,-20.2208,-70.1431,64.44,76,32,0.47,scattered clouds
190,Astoria,US,46.1879,-123.8313,46.85,95,100,3.0,overcast clouds
191,Utran,IN,21.2333,72.8667,58.89,82,32,0.0,fog
192,Broome,US,42.2506,-75.833,16.02,85,100,11.5,overcast clouds
193,Uruacu,BR,-14.5247,-49.1408,70.81,90,55,1.39,broken clouds
194,Komsomolskiy,UZ,40.4272,71.7189,29.62,63,98,6.91,overcast clouds
195,Namatanai,PG,-3.6667,152.4333,85.51,66,82,9.55,broken clouds
196,Rio Gallegos,AR,-51.6226,-69.2181,50.05,76,0,21.85,clear sky
197,Manjacaze,MZ,-24.7117,33.8828,73.49,78,51,5.66,broken clouds
198,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.28,99,100,0.25,heavy intensity rain
199,Pimenta Bueno,BR,-11.6725,-61.1936,72.05,97,59,3.04,broken clouds
200,Torbay,CA,47.6666,-52.7314,30.97,100,100,9.22,freezing rain
201,Porto Santo,PT,33.072,-16.3415,62.98,94,20,3.44,few clouds
202,Hermanus,ZA,-34.4187,19.2345,64.8,76,0,18.34,clear sky
203,Boyolangu,ID,-8.1181,111.8935,83.77,69,89,1.68,overcast clouds
204,Codrington,AU,-38.2667,141.9667,69.82,57,98,20.29,overcast clouds
205,Brae,GB,60.3964,-1.353,40.91,66,100,22.53,overcast clouds
206,Mattawa,US,46.7379,-119.9028,37.11,85,7,3.18,clear sky
207,Zabaykalsk,RU,49.6333,117.3167,2.01,82,98,9.89,overcast clouds
208,Beringovskiy,RU,63.05,179.3167,-9.99,88,52,11.43,broken clouds
209,Berdigestyakh,RU,62.0989,126.6992,-11.99,94,83,4.05,broken clouds
210,Nichinan,JP,31.6,131.3667,47.88,49,46,15.77,scattered clouds
211,Panguipulli,CL,-39.6333,-72.3333,51.51,84,44,1.72,scattered clouds
212,Port Elizabeth,ZA,-33.918,25.5701,67.1,88,75,2.3,broken clouds
213,Nikel,RU,69.4128,30.222,15.98,93,100,21.05,light snow
214,Iracoubo,GF,5.4802,-53.2011,75.85,89,95,8.9,overcast clouds
