City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
637,Roebourne,AU,92.75,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
657,Emerald,AU,87.94,scattered clouds,-23.5333,148.1667,The Irish Village
661,Sola,VU,82.51,overcast clouds,-13.8833,167.55,Leumerus Bungalows
662,Maragogi,BR,77.74,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
670,Daru,PG,87.91,overcast clouds,-9.0763,143.2092,Daru Lodge
671,Moindou,NC,87.75,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
674,Saint-Joseph,RE,80.98,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
675,Harper,LR,78.48,broken clouds,4.375,-7.7169,Screensaver
676,Fomboni,KM,83.32,light rain,-12.28,43.7425,Auberge les abou
678,Bairiki,KI,87.8,light rain,1.3292,172.9752,Tarawa Boutique Hotel
688,Port Hedland,AU,93.25,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
691,Yenagoa,NG,76.24,few clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
692,Ta Khmau,KH,84.25,few clouds,11.4833,104.95,Takhmao Good Health Hotel
694,Finschhafen,PG,87.06,scattered clouds,-6.6024,147.8681,Cossam Guest House
698,Dicabisagan,PH,75.15,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
706,Popondetta,PG,86.95,broken clouds,-8.7537,148.2534,Timos Transit House
